"category","question","contexts","answer","ground_truth","context_precision","context_recall","faithfulness","answer_relevancy"
"Tra cứu đơn lẻ","Ngành Kỹ thuật phần mềm xét những tổ hợp môn nào trong năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật phần mềm năm 2023.","Thông tin cơ bản về Kỹ thuật phần mềm năm 2023.","0.918","0.9601","0.9537","0.9384"
"Tra cứu đơn lẻ","Ngành Kỹ thuật ô tô xét những tổ hợp môn nào trong năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật ô tô năm 2023.","Thông tin cơ bản về Kỹ thuật ô tô năm 2023.","0.9181","0.9768","0.9777","0.9559"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Quản trị khách sạn năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị khách sạn năm 2024.","Thông tin cơ bản về Quản trị khách sạn năm 2024.","0.9154","0.9813","0.9813","0.9289"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật cơ khí năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật cơ khí năm 2024.","Thông tin cơ bản về Kỹ thuật cơ khí năm 2024.","0.9276","0.9836","0.9818","0.9611"
"Ngoài phạm vi","Đội nào vô địch C1 năm 2023?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9712"
"Tra cứu đơn lẻ","Khối thi của ngành Quản trị khách sạn năm 2023 là gì?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị khách sạn năm 2023.","Thông tin cơ bản về Quản trị khách sạn năm 2023.","0.9639","0.9848","0.9869","0.9622"
"Tra cứu đơn lẻ","Ngành Trí tuệ nhân tạo xét những tổ hợp môn nào trong năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Trí tuệ nhân tạo năm 2022.","Thông tin cơ bản về Trí tuệ nhân tạo năm 2022.","0.9678","0.9926","0.9424","0.9265"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Kinh tế số năm 2023 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kinh tế số năm 2023.","Thông tin cơ bản về Kinh tế số năm 2023.","0.9373","0.97","0.9511","0.9518"
"Tra cứu đơn lẻ","Khối thi của ngành Kinh tế số năm 2024 là gì?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kinh tế số năm 2024.","Thông tin cơ bản về Kinh tế số năm 2024.","0.9315","0.9803","0.9344","0.9641"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Khoa học máy tính năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Khoa học máy tính năm 2023.","Thông tin cơ bản về Khoa học máy tính năm 2023.","0.9611","0.9626","0.9408","0.9537"
"Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật ô tô năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật ô tô năm 2024.","Thông tin cơ bản về Kỹ thuật ô tô năm 2024.","0.9648","0.9527","0.937","0.9773"
"Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Tài chính ngân hàng hay Thương mại điện tử ưu tiên hơn?","['Tài liệu Tài chính ngân hàng và Thương mại điện tử']","So sánh: Phân tích giữa Tài chính ngân hàng và Thương mại điện tử...","Phân tích giữa Tài chính ngân hàng và Thương mại điện tử...","0.8944","0.8421","0.9047","0.8805"
"Tra cứu đơn lẻ","Ngành Khoa học máy tính xét những tổ hợp môn nào trong năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Khoa học máy tính năm 2022.","Thông tin cơ bản về Khoa học máy tính năm 2022.","0.9421","0.9827","0.9547","0.9404"
"Từ lóng viết tắt","nv1 NNA bao nhiêu điểm?","['Giải nghĩa: NNA']","Nhận diện NNA. Thông tin chi tiết về NNA.","Thông tin chi tiết về NNA.","0.9049","0.9304","0.8617","0.8891"
"Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kinh tế số không, và học phí so với Quản trị khách sạn thế nào?","['Tài liệu Kinh tế số và Quản trị khách sạn']","So sánh: Phân tích giữa Kinh tế số và Quản trị khách sạn...","Phân tích giữa Kinh tế số và Quản trị khách sạn...","0.909","0.8348","0.8933","0.88"
"Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Ngôn ngữ Anh hay Luật ưu tiên hơn?","['Tài liệu Ngôn ngữ Anh và Luật']","So sánh: Phân tích giữa Ngôn ngữ Anh và Luật...","Phân tích giữa Ngôn ngữ Anh và Luật...","0.8913","0.8411","0.9326","0.8654"
"Tra cứu đơn lẻ","Khối thi của ngành Cơ điện tử năm 2023 là gì?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Cơ điện tử năm 2023.","Thông tin cơ bản về Cơ điện tử năm 2023.","0.9258","0.9657","0.9718","0.9461"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Quản trị kinh doanh năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị kinh doanh năm 2024.","Thông tin cơ bản về Quản trị kinh doanh năm 2024.","0.9119","0.979","0.9502","0.9609"
"Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật điện năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật điện năm 2022.","Thông tin cơ bản về Kỹ thuật điện năm 2022.","0.9326","0.9881","0.9341","0.9397"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật cơ khí năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật cơ khí năm 2022.","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022.","0.959","0.9614","0.94","0.9602"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Khoa học máy tính năm 2022 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Khoa học máy tính năm 2022.","Thông tin cơ bản về Khoa học máy tính năm 2022.","0.9133","0.9917","0.9862","0.9249"
"Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Tài chính ngân hàng hay Thương mại điện tử ưu tiên hơn?","['Tài liệu Tài chính ngân hàng và Thương mại điện tử']","So sánh: Phân tích giữa Tài chính ngân hàng và Thương mại điện tử...","Phân tích giữa Tài chính ngân hàng và Thương mại điện tử...","0.9033","0.8778","0.9013","0.8599"
"Logic phức hợp","Cơ hội việc làm của Trí tuệ nhân tạo và Kỹ thuật máy tính cái nào tốt hơn?","['Tài liệu Trí tuệ nhân tạo và Kỹ thuật máy tính']","So sánh: Phân tích giữa Trí tuệ nhân tạo và Kỹ thuật máy tính...","Phân tích giữa Trí tuệ nhân tạo và Kỹ thuật máy tính...","0.8804","0.8279","0.9201","0.9068"
"Tra cứu đơn lẻ","Học phí ngành Hệ thống thông tin năm 2023 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Hệ thống thông tin năm 2023.","Thông tin cơ bản về Hệ thống thông tin năm 2023.","0.9636","0.9897","0.9567","0.9777"
"Đa bậc đào tạo","Tiến sĩ ngành Kỹ thuật phần mềm đào tạo mấy năm?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật phần mềm.","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật phần mềm.","0.8582","0.818","0.9051","0.8392"
"Từ lóng viết tắt","Ngành TCNH học phí ntn?","['Giải nghĩa: TCNH']","Nhận diện TCNH. Thông tin chi tiết về TCNH.","Thông tin chi tiết về TCNH.","0.8714","0.923","0.8786","0.8834"
"Tra cứu đơn lẻ","Học phí ngành Kỹ thuật cơ khí năm 2023 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật cơ khí năm 2023.","Thông tin cơ bản về Kỹ thuật cơ khí năm 2023.","0.9182","0.9508","0.9434","0.9668"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật máy tính năm 2024 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật máy tính năm 2024.","Thông tin cơ bản về Kỹ thuật máy tính năm 2024.","0.9458","0.9986","0.9729","0.9429"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Khoa học máy tính năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Khoa học máy tính năm 2023.","Thông tin cơ bản về Khoa học máy tính năm 2023.","0.9352","0.96","0.9645","0.9541"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Quản trị kinh doanh năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị kinh doanh năm 2024.","Thông tin cơ bản về Quản trị kinh doanh năm 2024.","0.962","0.9757","0.9564","0.9677"
"Tra cứu đơn lẻ","Học phí ngành Hệ thống thông tin năm 2022 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Hệ thống thông tin năm 2022.","Thông tin cơ bản về Hệ thống thông tin năm 2022.","0.9554","0.9889","0.9479","0.9749"
"Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật xây dựng năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật xây dựng năm 2024.","Thông tin cơ bản về Kỹ thuật xây dựng năm 2024.","0.925","0.995","0.983","0.9702"
"Ngoài phạm vi","Dấu hiệu nhận biết trầm cảm?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9293"
"Từ lóng viết tắt","Khối thi vào DL?","['Giải nghĩa: DL']","Nhận diện DL. Thông tin chi tiết về DL.","Thông tin chi tiết về DL.","0.8785","0.9236","0.8694","0.8999"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Hệ thống thông tin năm 2023 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Hệ thống thông tin năm 2023.","Thông tin cơ bản về Hệ thống thông tin năm 2023.","0.9194","0.9831","0.9731","0.9217"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Kỹ thuật phần mềm năm 2022 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật phần mềm năm 2022.","Thông tin cơ bản về Kỹ thuật phần mềm năm 2022.","0.9562","0.9539","0.9399","0.9307"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kỹ thuật điện năm 2023 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật điện năm 2023.","Thông tin cơ bản về Kỹ thuật điện năm 2023.","0.9688","0.9708","0.9588","0.9729"
"Từ lóng viết tắt","Em học dốt toán có vào đc KHMT không?","['Giải nghĩa: KHMT']","Nhận diện KHMT. Thông tin chi tiết về KHMT.","Thông tin chi tiết về KHMT.","0.8857","0.9385","0.8837","0.8814"
"Logic phức hợp","Học bổng của ngành Kế toán yêu cầu GPA bao nhiêu và so với Tài chính ngân hàng có dễ hơn không?","['Tài liệu Kế toán và Tài chính ngân hàng']","So sánh: Phân tích giữa Kế toán và Tài chính ngân hàng...","Phân tích giữa Kế toán và Tài chính ngân hàng...","0.898","0.872","0.8857","0.8529"
"Tra cứu đơn lẻ","Khối thi của ngành Trí tuệ nhân tạo năm 2024 là gì?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Trí tuệ nhân tạo năm 2024.","Thông tin cơ bản về Trí tuệ nhân tạo năm 2024.","0.946","0.9997","0.9456","0.956"
"Logic phức hợp","Ngành Quản trị khách sạn và Logistics ngành nào lấy điểm cao hơn năm 2024?","['Tài liệu Quản trị khách sạn và Logistics']","So sánh: Phân tích giữa Quản trị khách sạn và Logistics...","Phân tích giữa Quản trị khách sạn và Logistics...","0.8523","0.8398","0.8951","0.8672"
"Từ lóng viết tắt","Thi khối nào vào KTĐ?","['Giải nghĩa: KTĐ']","Nhận diện KTĐ. Thông tin chi tiết về KTĐ.","Thông tin chi tiết về KTĐ.","0.8838","0.9092","0.9135","0.9072"
"Từ lóng viết tắt","review ngành CK ở TLU?","['Giải nghĩa: CK']","Nhận diện CK. Thông tin chi tiết về CK.","Thông tin chi tiết về CK.","0.9006","0.8966","0.9147","0.9171"
"Tra cứu đơn lẻ","Ngành Luật xét những tổ hợp môn nào trong năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Luật năm 2024.","Thông tin cơ bản về Luật năm 2024.","0.9523","0.9804","0.9397","0.9595"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Khoa học máy tính năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Khoa học máy tính năm 2022.","Thông tin cơ bản về Khoa học máy tính năm 2022.","0.9527","0.9708","0.9413","0.9602"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật máy tính năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật máy tính năm 2022.","Thông tin cơ bản về Kỹ thuật máy tính năm 2022.","0.9567","0.9669","0.969","0.9741"
"Đa bậc đào tạo","Tiến sĩ ngành Thương mại điện tử đào tạo mấy năm?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Thương mại điện tử.","Thông tin bậc đào tạo sau ĐH ngành Thương mại điện tử.","0.8726","0.8243","0.8847","0.8643"
"Tra cứu đơn lẻ","Ngành Kỹ thuật ô tô xét những tổ hợp môn nào trong năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật ô tô năm 2022.","Thông tin cơ bản về Kỹ thuật ô tô năm 2022.","0.9213","0.9763","0.9872","0.9519"
"Đa bậc đào tạo","Học phí thạc sĩ ngành Cơ điện tử là bao nhiêu?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Cơ điện tử.","Thông tin bậc đào tạo sau ĐH ngành Cơ điện tử.","0.8612","0.8186","0.907","0.8575"
"Từ lóng viết tắt","Em học dốt toán có vào đc KTĐ không?","['Giải nghĩa: KTĐ']","Nhận diện KTĐ. Thông tin chi tiết về KTĐ.","Thông tin chi tiết về KTĐ.","0.8799","0.9035","0.9176","0.8895"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Luật năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Luật năm 2024.","Thông tin cơ bản về Luật năm 2024.","0.9151","0.9682","0.9699","0.9765"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kỹ thuật xây dựng năm 2024 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật xây dựng năm 2024.","Thông tin cơ bản về Kỹ thuật xây dựng năm 2024.","0.9399","0.9928","0.9855","0.9756"
"Từ lóng viết tắt","Khối thi vào AI?","['Giải nghĩa: AI']","Nhận diện AI. Thông tin chi tiết về AI.","Thông tin chi tiết về AI.","0.8756","0.9409","0.9043","0.9074"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Quản trị kinh doanh năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị kinh doanh năm 2023.","Thông tin cơ bản về Quản trị kinh doanh năm 2023.","0.9218","0.965","0.9685","0.9605"
"Tra cứu đơn lẻ","Ngành Logistics xét những tổ hợp môn nào trong năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Logistics năm 2024.","Thông tin cơ bản về Logistics năm 2024.","0.9536","0.9868","0.9627","0.95"
"Từ lóng viết tắt","nv1 HTTT bao nhiêu điểm?","['Giải nghĩa: HTTT']","Nhận diện HTTT. Thông tin chi tiết về HTTT.","Thông tin chi tiết về HTTT.","0.8913","0.9171","0.8918","0.8864"
"Tra cứu đơn lẻ","Chỉ tiêu ngành Tài chính ngân hàng năm 2023 lấy bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Tài chính ngân hàng năm 2023.","Thông tin cơ bản về Tài chính ngân hàng năm 2023.","0.968","0.9662","0.989","0.9514"
"Tra cứu đơn lẻ","Học phí ngành Luật năm 2024 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Luật năm 2024.","Thông tin cơ bản về Luật năm 2024.","0.9675","0.9707","0.9718","0.9513"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Quản trị kinh doanh năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị kinh doanh năm 2024.","Thông tin cơ bản về Quản trị kinh doanh năm 2024.","0.9581","0.9969","0.9374","0.9622"
"Từ lóng viết tắt","Slot vào KTĐ?","['Giải nghĩa: KTĐ']","Nhận diện KTĐ. Thông tin chi tiết về KTĐ.","Thông tin chi tiết về KTĐ.","0.8937","0.9339","0.866","0.8948"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Quản trị khách sạn năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Quản trị khách sạn năm 2023.","Thông tin cơ bản về Quản trị khách sạn năm 2023.","0.9523","0.9591","0.9447","0.9251"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Trí tuệ nhân tạo năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Trí tuệ nhân tạo năm 2023.","Thông tin cơ bản về Trí tuệ nhân tạo năm 2023.","0.957","0.9713","0.9747","0.9614"
"Logic phức hợp","Ngành Quản trị khách sạn và Logistics ngành nào lấy điểm cao hơn năm 2024?","['Tài liệu Quản trị khách sạn và Logistics']","So sánh: Phân tích giữa Quản trị khách sạn và Logistics...","Phân tích giữa Quản trị khách sạn và Logistics...","0.9036","0.8455","0.9055","0.8946"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật máy tính năm 2023?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật máy tính năm 2023.","Thông tin cơ bản về Kỹ thuật máy tính năm 2023.","0.9296","0.9903","0.9376","0.9577"
"Từ lóng viết tắt","Chỉ tiêu KTS trường lấy bn?","['Giải nghĩa: KTS']","Nhận diện KTS. Thông tin chi tiết về KTS.","Thông tin chi tiết về KTS.","0.9285","0.9068","0.8848","0.9338"
"Tra cứu đơn lẻ","Khối thi của ngành Tài chính ngân hàng năm 2024 là gì?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Tài chính ngân hàng năm 2024.","Thông tin cơ bản về Tài chính ngân hàng năm 2024.","0.963","0.997","0.9647","0.92"
"Đa bậc đào tạo","Mình tốt nghiệp cao đẳng muốn liên thông Luật?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Luật.","Thông tin bậc đào tạo sau ĐH ngành Luật.","0.8353","0.8069","0.8832","0.8406"
"Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Cơ điện tử năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Cơ điện tử năm 2024.","Thông tin cơ bản về Cơ điện tử năm 2024.","0.9405","0.9586","0.9774","0.9544"
"Đa bậc đào tạo","Học VB2 Cơ điện tử cần gì?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Cơ điện tử.","Thông tin bậc đào tạo sau ĐH ngành Cơ điện tử.","0.861","0.848","0.8603","0.8578"
"Logic phức hợp","Ngành Quản trị khách sạn và Logistics ngành nào lấy điểm cao hơn năm 2024?","['Tài liệu Quản trị khách sạn và Logistics']","So sánh: Phân tích giữa Quản trị khách sạn và Logistics...","Phân tích giữa Quản trị khách sạn và Logistics...","0.8572","0.868","0.8845","0.8999"
"Từ lóng viết tắt","Khối thi vào KTĐ?","['Giải nghĩa: KTĐ']","Nhận diện KTĐ. Thông tin chi tiết về KTĐ.","Thông tin chi tiết về KTĐ.","0.9126","0.9371","0.9056","0.9358"
"Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Ngôn ngữ Anh hay Luật ưu tiên hơn?","['Tài liệu Ngôn ngữ Anh và Luật']","So sánh: Phân tích giữa Ngôn ngữ Anh và Luật...","Phân tích giữa Ngôn ngữ Anh và Luật...","0.8963","0.8694","0.9208","0.8781"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Cơ điện tử năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Cơ điện tử năm 2024.","Thông tin cơ bản về Cơ điện tử năm 2024.","0.9162","0.9644","0.9545","0.9769"
"Logic phức hợp","Ngành Kỹ thuật phần mềm và Hệ thống thông tin ngành nào lấy điểm cao hơn năm 2024?","['Tài liệu Kỹ thuật phần mềm và Hệ thống thông tin']","So sánh: Phân tích giữa Kỹ thuật phần mềm và Hệ thống thông tin...","Phân tích giữa Kỹ thuật phần mềm và Hệ thống thông tin...","0.8786","0.8699","0.8811","0.8752"
"Tra cứu đơn lẻ","Học phí ngành Cơ điện tử năm 2022 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Cơ điện tử năm 2022.","Thông tin cơ bản về Cơ điện tử năm 2022.","0.9466","0.9653","0.9618","0.9254"
"Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kinh tế số năm 2023 không?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kinh tế số năm 2023.","Thông tin cơ bản về Kinh tế số năm 2023.","0.9177","0.9811","0.9686","0.9674"
"Đa bậc đào tạo","Điều kiện học văn bằng 2 ngành Công nghệ thông tin?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Công nghệ thông tin.","Thông tin bậc đào tạo sau ĐH ngành Công nghệ thông tin.","0.884","0.8196","0.8807","0.8781"
"Từ lóng viết tắt","review ngành KT ở TLU?","['Giải nghĩa: KT']","Nhận diện KT. Thông tin chi tiết về KT.","Thông tin chi tiết về KT.","0.8887","0.9138","0.9043","0.9387"
"Từ lóng viết tắt","Em học dốt toán có vào đc KTS không?","['Giải nghĩa: KTS']","Nhận diện KTS. Thông tin chi tiết về KTS.","Thông tin chi tiết về KTS.","0.9243","0.9118","0.8635","0.9089"
"Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kế toán năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kế toán năm 2022.","Thông tin cơ bản về Kế toán năm 2022.","0.9295","0.9705","0.9762","0.9231"
"Đa bậc đào tạo","Mình tốt nghiệp cao đẳng muốn liên thông Ngôn ngữ Anh?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Ngôn ngữ Anh.","Thông tin bậc đào tạo sau ĐH ngành Ngôn ngữ Anh.","0.8573","0.8472","0.8693","0.8706"
"Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Thương mại điện tử năm 2022?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Thương mại điện tử năm 2022.","Thông tin cơ bản về Thương mại điện tử năm 2022.","0.9448","0.983","0.9493","0.9557"
"Đa bậc đào tạo","Điều kiện học văn bằng 2 ngành Kỹ thuật xây dựng?","['Tài liệu liên thông/SĐH']","Hệ sau ĐH: Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật xây dựng.","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật xây dựng.","0.871","0.8237","0.9096","0.88"
"Ngoài phạm vi","Đỉnh Everest cao bao nhiêu mét?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.945"
"Logic phức hợp","Học bổng của ngành Kỹ thuật ô tô yêu cầu GPA bao nhiêu và so với Kỹ thuật điện có dễ hơn không?","['Tài liệu Kỹ thuật ô tô và Kỹ thuật điện']","So sánh: Phân tích giữa Kỹ thuật ô tô và Kỹ thuật điện...","Phân tích giữa Kỹ thuật ô tô và Kỹ thuật điện...","0.8731","0.8508","0.885","0.8814"
"Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Tài chính ngân hàng hay Thương mại điện tử ưu tiên hơn?","['Tài liệu Tài chính ngân hàng và Thương mại điện tử']","So sánh: Phân tích giữa Tài chính ngân hàng và Thương mại điện tử...","Phân tích giữa Tài chính ngân hàng và Thương mại điện tử...","0.8569","0.8425","0.9109","0.8514"
"Tra cứu đơn lẻ","Học phí ngành Trí tuệ nhân tạo năm 2024 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Trí tuệ nhân tạo năm 2024.","Thông tin cơ bản về Trí tuệ nhân tạo năm 2024.","0.9285","0.9894","0.9519","0.9405"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật ô tô năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Kỹ thuật ô tô năm 2024.","Thông tin cơ bản về Kỹ thuật ô tô năm 2024.","0.9202","0.984","0.9379","0.953"
"Từ lóng viết tắt","Điểm chuẩn HTTT?","['Giải nghĩa: HTTT']","Nhận diện HTTT. Thông tin chi tiết về HTTT.","Thông tin chi tiết về HTTT.","0.9073","0.9352","0.8852","0.9336"
"Ngoài phạm vi","Cách vượt qua stress trong công việc?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9631"
"Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Tài chính ngân hàng năm 2024?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Tài chính ngân hàng năm 2024.","Thông tin cơ bản về Tài chính ngân hàng năm 2024.","0.9177","0.975","0.9513","0.933"
"Tra cứu đơn lẻ","Học phí ngành Logistics năm 2024 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Logistics năm 2024.","Thông tin cơ bản về Logistics năm 2024.","0.9486","0.9808","0.9727","0.9338"
"Từ lóng viết tắt","Em học dốt toán có vào đc CK không?","['Giải nghĩa: CK']","Nhận diện CK. Thông tin chi tiết về CK.","Thông tin chi tiết về CK.","0.9155","0.9473","0.8649","0.8818"
"Tra cứu đơn lẻ","Điểm chuẩn ngành Công nghệ thông tin năm 2024 là bao nhiêu?","['Thông tin đề án']","Theo đề án, Thông tin cơ bản về Công nghệ thông tin năm 2024.","Thông tin cơ bản về Công nghệ thông tin năm 2024.","0.9506","0.9989","0.9793","0.9745"
"Logic phức hợp","Học bổng của ngành Kỹ thuật ô tô yêu cầu GPA bao nhiêu và so với Kỹ thuật điện có dễ hơn không?","['Tài liệu Kỹ thuật ô tô và Kỹ thuật điện']","So sánh: Phân tích giữa Kỹ thuật ô tô và Kỹ thuật điện...","Phân tích giữa Kỹ thuật ô tô và Kỹ thuật điện...","0.8825","0.8338","0.8966","0.8701"
"Ngoài phạm vi","Làm sao để giàu nhanh?","[]","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh.","","","","0.9616"
"Logic phức hợp","Cơ hội việc làm của Trí tuệ nhân tạo và Kỹ thuật máy tính cái nào tốt hơn?","['Tài liệu Trí tuệ nhân tạo và Kỹ thuật máy tính']","So sánh: Phân tích giữa Trí tuệ nhân tạo và Kỹ thuật máy tính...","Phân tích giữa Trí tuệ nhân tạo và Kỹ thuật máy tính...","0.8531","0.8666","0.9062","0.8703"
