"id","category","question","ground_truth"
"597","Tra cứu đơn lẻ","Điểm chuẩn ngành Luật năm 2023 là bao nhiêu?","Thông tin cơ bản về Luật năm 2023."
"598","Từ lóng viết tắt","Học NNA tốn bao nhiêu tiền?","Thông tin chi tiết về NNA."
"599","Ngoài phạm vi","Trường có đào tạo bác sĩ y khoa không?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"600","Từ lóng viết tắt","Điểm chuẩn OTO?","Thông tin chi tiết về OTO."
"601","Từ lóng viết tắt","Thi khối nào vào TMĐT?","Thông tin chi tiết về TMĐT."
"602","Đa bậc đào tạo","Chỉ tiêu tuyển sinh cao học ngành Kỹ thuật điện năm nay?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật điện."
"603","Tra cứu đơn lẻ","Ngành Công nghệ thông tin xét những tổ hợp môn nào trong năm 2024?","Thông tin cơ bản về Công nghệ thông tin năm 2024."
"604","Tra cứu đơn lẻ","Học phí ngành Logistics năm 2022 là bao nhiêu?","Thông tin cơ bản về Logistics năm 2022."
"605","Tra cứu đơn lẻ","Học phí ngành Thương mại điện tử năm 2024 là bao nhiêu?","Thông tin cơ bản về Thương mại điện tử năm 2024."
"606","Đa bậc đào tạo","Chỉ tiêu tuyển sinh cao học ngành Luật năm nay?","Thông tin bậc đào tạo sau ĐH ngành Luật."
"607","Đa bậc đào tạo","Chỉ tiêu tuyển sinh cao học ngành Kỹ thuật xây dựng năm nay?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật xây dựng."
"608","Đa bậc đào tạo","Học VB2 Kỹ thuật điện cần gì?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật điện."
"609","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật ô tô năm 2023?","Thông tin cơ bản về Kỹ thuật ô tô năm 2023."
"610","Tra cứu đơn lẻ","Học phí ngành Khoa học máy tính năm 2023 là bao nhiêu?","Thông tin cơ bản về Khoa học máy tính năm 2023."
"611","Đa bậc đào tạo","Học phí thạc sĩ ngành Kế toán là bao nhiêu?","Thông tin bậc đào tạo sau ĐH ngành Kế toán."
"612","Từ lóng viết tắt","review ngành XD ở TLU?","Thông tin chi tiết về XD."
"613","Đa bậc đào tạo","Học VB2 Kỹ thuật ô tô cần gì?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật ô tô."
"614","Tra cứu đơn lẻ","Điểm chuẩn ngành Logistics năm 2022 là bao nhiêu?","Thông tin cơ bản về Logistics năm 2022."
"615","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật cơ khí năm 2022?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022."
"616","Tra cứu đơn lẻ","Ngành Quản trị khách sạn xét những tổ hợp môn nào trong năm 2022?","Thông tin cơ bản về Quản trị khách sạn năm 2022."
"617","Từ lóng viết tắt","Ngành NNA học phí ntn?","Thông tin chi tiết về NNA."
"618","Logic phức hợp","Ngành Quản trị khách sạn và Logistics ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Quản trị khách sạn và Logistics..."
"619","Tra cứu đơn lẻ","Khối thi của ngành Kỹ thuật máy tính năm 2022 là gì?","Thông tin cơ bản về Kỹ thuật máy tính năm 2022."
"620","Đa bậc đào tạo","Xét tuyển liên thông lên đại học ngành Kỹ thuật ô tô?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật ô tô."
"621","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Tài chính ngân hàng năm 2024?","Thông tin cơ bản về Tài chính ngân hàng năm 2024."
"622","Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật điện năm 2023 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật điện năm 2023."
"623","Tra cứu đơn lẻ","Học phí ngành Quản trị khách sạn năm 2024 là bao nhiêu?","Thông tin cơ bản về Quản trị khách sạn năm 2024."
"624","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kỹ thuật cơ khí năm 2024 không?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2024."
"625","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Khoa học máy tính năm 2022 không?","Thông tin cơ bản về Khoa học máy tính năm 2022."
"626","Đa bậc đào tạo","Chỉ tiêu tuyển sinh cao học ngành Quản trị kinh doanh năm nay?","Thông tin bậc đào tạo sau ĐH ngành Quản trị kinh doanh."
"627","Ngoài phạm vi","Nên mua quà gì khi đi du lịch Đà Nẵng?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"628","Tra cứu đơn lẻ","Học phí ngành Kỹ thuật phần mềm năm 2024 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2024."
"629","Logic phức hợp","Ngành Quản trị kinh doanh và Kế toán ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Quản trị kinh doanh và Kế toán..."
"630","Đa bậc đào tạo","Điều kiện học văn bằng 2 ngành Quản trị kinh doanh?","Thông tin bậc đào tạo sau ĐH ngành Quản trị kinh doanh."
"631","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật xây dựng năm 2022?","Thông tin cơ bản về Kỹ thuật xây dựng năm 2022."
"632","Từ lóng viết tắt","Chỉ tiêu TĐH trường lấy bn?","Thông tin chi tiết về TĐH."
"633","Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Ngôn ngữ Anh hay Luật ưu tiên hơn?","Phân tích giữa Ngôn ngữ Anh và Luật..."
"634","Tra cứu đơn lẻ","Ngành Khoa học máy tính xét những tổ hợp môn nào trong năm 2024?","Thông tin cơ bản về Khoa học máy tính năm 2024."
"635","Từ lóng viết tắt","nv1 TĐH bao nhiêu điểm?","Thông tin chi tiết về TĐH."
"636","Đa bậc đào tạo","Chi phí học cao học ngành Thương mại điện tử?","Thông tin bậc đào tạo sau ĐH ngành Thương mại điện tử."
"637","Ngoài phạm vi","Hướng dẫn cài đặt Windows 11?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"638","Tra cứu đơn lẻ","Ngành Kỹ thuật máy tính xét những tổ hợp môn nào trong năm 2024?","Thông tin cơ bản về Kỹ thuật máy tính năm 2024."
"639","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật máy tính năm 2024?","Thông tin cơ bản về Kỹ thuật máy tính năm 2024."
"640","Từ lóng viết tắt","Khối thi vào NNA?","Thông tin chi tiết về NNA."
"641","Tra cứu đơn lẻ","Học phí ngành Kỹ thuật ô tô năm 2022 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật ô tô năm 2022."
"642","Từ lóng viết tắt","Chỉ tiêu KT trường lấy bn?","Thông tin chi tiết về KT."
"643","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Cơ điện tử năm 2024 không?","Thông tin cơ bản về Cơ điện tử năm 2024."
"644","Ngoài phạm vi","Triệu chứng của bệnh sốt xuất huyết?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"645","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Quản trị kinh doanh năm 2022?","Thông tin cơ bản về Quản trị kinh doanh năm 2022."
"646","Đa bậc đào tạo","Thời gian học NCS ngành Cơ điện tử?","Thông tin bậc đào tạo sau ĐH ngành Cơ điện tử."
"647","Tra cứu đơn lẻ","Điểm chuẩn ngành Cơ điện tử năm 2022 là bao nhiêu?","Thông tin cơ bản về Cơ điện tử năm 2022."
"648","Đa bậc đào tạo","Xét tuyển liên thông lên đại học ngành Kỹ thuật cơ khí?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật cơ khí."
"649","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Luật năm 2022 không?","Thông tin cơ bản về Luật năm 2022."
"650","Từ lóng viết tắt","review ngành NNA ở TLU?","Thông tin chi tiết về NNA."
"651","Từ lóng viết tắt","Chỉ tiêu CNTT trường lấy bn?","Thông tin chi tiết về CNTT."
"652","Từ lóng viết tắt","Em học dốt toán có vào đc XD không?","Thông tin chi tiết về XD."
"653","Tra cứu đơn lẻ","Chỉ tiêu ngành Kế toán năm 2024 lấy bao nhiêu?","Thông tin cơ bản về Kế toán năm 2024."
"654","Từ lóng viết tắt","review ngành Log ở TLU?","Thông tin chi tiết về Log."
"655","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kinh tế số năm 2024?","Thông tin cơ bản về Kinh tế số năm 2024."
"656","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật phần mềm năm 2024?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2024."
"657","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Luật năm 2023?","Thông tin cơ bản về Luật năm 2023."
"658","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Khoa học máy tính năm 2022?","Thông tin cơ bản về Khoa học máy tính năm 2022."
"659","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Cơ điện tử năm 2022?","Thông tin cơ bản về Cơ điện tử năm 2022."
"660","Tra cứu đơn lẻ","Khối thi của ngành Tài chính ngân hàng năm 2023 là gì?","Thông tin cơ bản về Tài chính ngân hàng năm 2023."
"661","Đa bậc đào tạo","Điều kiện học văn bằng 2 ngành Cơ điện tử?","Thông tin bậc đào tạo sau ĐH ngành Cơ điện tử."
"662","Tra cứu đơn lẻ","Khối thi của ngành Hệ thống thông tin năm 2023 là gì?","Thông tin cơ bản về Hệ thống thông tin năm 2023."
"663","Đa bậc đào tạo","Mình tốt nghiệp cao đẳng muốn liên thông Logistics?","Thông tin bậc đào tạo sau ĐH ngành Logistics."
"664","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật phần mềm năm 2024?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2024."
"665","Ngoài phạm vi","Các cuốn sách hay nên đọc?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"666","Từ lóng viết tắt","Thi khối nào vào NNA?","Thông tin chi tiết về NNA."
"667","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật phần mềm năm 2022?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2022."
"668","Tra cứu đơn lẻ","Khối thi của ngành Quản trị kinh doanh năm 2024 là gì?","Thông tin cơ bản về Quản trị kinh doanh năm 2024."
"669","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật ô tô năm 2022?","Thông tin cơ bản về Kỹ thuật ô tô năm 2022."
"670","Tra cứu đơn lẻ","Học phí ngành Kỹ thuật máy tính năm 2022 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật máy tính năm 2022."
"671","Từ lóng viết tắt","nv1 Nước bao nhiêu điểm?","Thông tin chi tiết về Nước."
"672","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Tài chính ngân hàng năm 2022?","Thông tin cơ bản về Tài chính ngân hàng năm 2022."
"673","Tra cứu đơn lẻ","Ngành Quản trị kinh doanh xét những tổ hợp môn nào trong năm 2023?","Thông tin cơ bản về Quản trị kinh doanh năm 2023."
"674","Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kỹ thuật máy tính không, và học phí so với Quản trị kinh doanh thế nào?","Phân tích giữa Kỹ thuật máy tính và Quản trị kinh doanh..."
"675","Tra cứu đơn lẻ","Ngành Kỹ thuật phần mềm xét những tổ hợp môn nào trong năm 2023?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2023."
"676","Tra cứu đơn lẻ","Ngành Kỹ thuật ô tô xét những tổ hợp môn nào trong năm 2023?","Thông tin cơ bản về Kỹ thuật ô tô năm 2023."
"677","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Quản trị khách sạn năm 2024?","Thông tin cơ bản về Quản trị khách sạn năm 2024."
"678","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật cơ khí năm 2024?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2024."
"679","Ngoài phạm vi","Đội nào vô địch C1 năm 2023?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"680","Tra cứu đơn lẻ","Khối thi của ngành Quản trị khách sạn năm 2023 là gì?","Thông tin cơ bản về Quản trị khách sạn năm 2023."
"681","Tra cứu đơn lẻ","Ngành Trí tuệ nhân tạo xét những tổ hợp môn nào trong năm 2022?","Thông tin cơ bản về Trí tuệ nhân tạo năm 2022."
"682","Tra cứu đơn lẻ","Chỉ tiêu ngành Kinh tế số năm 2023 lấy bao nhiêu?","Thông tin cơ bản về Kinh tế số năm 2023."
"683","Tra cứu đơn lẻ","Khối thi của ngành Kinh tế số năm 2024 là gì?","Thông tin cơ bản về Kinh tế số năm 2024."
"684","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Khoa học máy tính năm 2023?","Thông tin cơ bản về Khoa học máy tính năm 2023."
"685","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật ô tô năm 2024?","Thông tin cơ bản về Kỹ thuật ô tô năm 2024."
"686","Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Tài chính ngân hàng hay Thương mại điện tử ưu tiên hơn?","Phân tích giữa Tài chính ngân hàng và Thương mại điện tử..."
"687","Tra cứu đơn lẻ","Ngành Khoa học máy tính xét những tổ hợp môn nào trong năm 2022?","Thông tin cơ bản về Khoa học máy tính năm 2022."
"688","Từ lóng viết tắt","nv1 NNA bao nhiêu điểm?","Thông tin chi tiết về NNA."
"689","Logic phức hợp","Nếu mình được 24 điểm khối A00 thì có đỗ Kinh tế số không, và học phí so với Quản trị khách sạn thế nào?","Phân tích giữa Kinh tế số và Quản trị khách sạn..."
"690","Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Ngôn ngữ Anh hay Luật ưu tiên hơn?","Phân tích giữa Ngôn ngữ Anh và Luật..."
"691","Tra cứu đơn lẻ","Khối thi của ngành Cơ điện tử năm 2023 là gì?","Thông tin cơ bản về Cơ điện tử năm 2023."
"692","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Quản trị kinh doanh năm 2024?","Thông tin cơ bản về Quản trị kinh doanh năm 2024."
"693","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật điện năm 2022?","Thông tin cơ bản về Kỹ thuật điện năm 2022."
"694","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kỹ thuật cơ khí năm 2022?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2022."
"695","Tra cứu đơn lẻ","Chỉ tiêu ngành Khoa học máy tính năm 2022 lấy bao nhiêu?","Thông tin cơ bản về Khoa học máy tính năm 2022."
"696","Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Tài chính ngân hàng hay Thương mại điện tử ưu tiên hơn?","Phân tích giữa Tài chính ngân hàng và Thương mại điện tử..."
"697","Logic phức hợp","Cơ hội việc làm của Trí tuệ nhân tạo và Kỹ thuật máy tính cái nào tốt hơn?","Phân tích giữa Trí tuệ nhân tạo và Kỹ thuật máy tính..."
"698","Tra cứu đơn lẻ","Học phí ngành Hệ thống thông tin năm 2023 là bao nhiêu?","Thông tin cơ bản về Hệ thống thông tin năm 2023."
"699","Đa bậc đào tạo","Tiến sĩ ngành Kỹ thuật phần mềm đào tạo mấy năm?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật phần mềm."
"700","Từ lóng viết tắt","Ngành TCNH học phí ntn?","Thông tin chi tiết về TCNH."
"701","Tra cứu đơn lẻ","Học phí ngành Kỹ thuật cơ khí năm 2023 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật cơ khí năm 2023."
"702","Tra cứu đơn lẻ","Điểm chuẩn ngành Kỹ thuật máy tính năm 2024 là bao nhiêu?","Thông tin cơ bản về Kỹ thuật máy tính năm 2024."
"703","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Khoa học máy tính năm 2023?","Thông tin cơ bản về Khoa học máy tính năm 2023."
"704","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Quản trị kinh doanh năm 2024?","Thông tin cơ bản về Quản trị kinh doanh năm 2024."
"705","Tra cứu đơn lẻ","Học phí ngành Hệ thống thông tin năm 2022 là bao nhiêu?","Thông tin cơ bản về Hệ thống thông tin năm 2022."
"706","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Kỹ thuật xây dựng năm 2024?","Thông tin cơ bản về Kỹ thuật xây dựng năm 2024."
"707","Ngoài phạm vi","Dấu hiệu nhận biết trầm cảm?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"708","Từ lóng viết tắt","Khối thi vào DL?","Thông tin chi tiết về DL."
"709","Tra cứu đơn lẻ","Chỉ tiêu ngành Hệ thống thông tin năm 2023 lấy bao nhiêu?","Thông tin cơ bản về Hệ thống thông tin năm 2023."
"710","Tra cứu đơn lẻ","Chỉ tiêu ngành Kỹ thuật phần mềm năm 2022 lấy bao nhiêu?","Thông tin cơ bản về Kỹ thuật phần mềm năm 2022."
"711","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kỹ thuật điện năm 2023 không?","Thông tin cơ bản về Kỹ thuật điện năm 2023."
"712","Từ lóng viết tắt","Em học dốt toán có vào đc KHMT không?","Thông tin chi tiết về KHMT."
"713","Logic phức hợp","Học bổng của ngành Kế toán yêu cầu GPA bao nhiêu và so với Tài chính ngân hàng có dễ hơn không?","Phân tích giữa Kế toán và Tài chính ngân hàng..."
"714","Tra cứu đơn lẻ","Khối thi của ngành Trí tuệ nhân tạo năm 2024 là gì?","Thông tin cơ bản về Trí tuệ nhân tạo năm 2024."
"715","Logic phức hợp","Ngành Quản trị khách sạn và Logistics ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Quản trị khách sạn và Logistics..."
"716","Từ lóng viết tắt","Thi khối nào vào KTĐ?","Thông tin chi tiết về KTĐ."
"717","Từ lóng viết tắt","review ngành CK ở TLU?","Thông tin chi tiết về CK."
"718","Tra cứu đơn lẻ","Ngành Luật xét những tổ hợp môn nào trong năm 2024?","Thông tin cơ bản về Luật năm 2024."
"719","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Khoa học máy tính năm 2022?","Thông tin cơ bản về Khoa học máy tính năm 2022."
"720","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật máy tính năm 2022?","Thông tin cơ bản về Kỹ thuật máy tính năm 2022."
"721","Đa bậc đào tạo","Tiến sĩ ngành Thương mại điện tử đào tạo mấy năm?","Thông tin bậc đào tạo sau ĐH ngành Thương mại điện tử."
"722","Tra cứu đơn lẻ","Ngành Kỹ thuật ô tô xét những tổ hợp môn nào trong năm 2022?","Thông tin cơ bản về Kỹ thuật ô tô năm 2022."
"723","Đa bậc đào tạo","Học phí thạc sĩ ngành Cơ điện tử là bao nhiêu?","Thông tin bậc đào tạo sau ĐH ngành Cơ điện tử."
"724","Từ lóng viết tắt","Em học dốt toán có vào đc KTĐ không?","Thông tin chi tiết về KTĐ."
"725","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Luật năm 2024?","Thông tin cơ bản về Luật năm 2024."
"726","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kỹ thuật xây dựng năm 2024 không?","Thông tin cơ bản về Kỹ thuật xây dựng năm 2024."
"727","Từ lóng viết tắt","Khối thi vào AI?","Thông tin chi tiết về AI."
"728","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Quản trị kinh doanh năm 2023?","Thông tin cơ bản về Quản trị kinh doanh năm 2023."
"729","Tra cứu đơn lẻ","Ngành Logistics xét những tổ hợp môn nào trong năm 2024?","Thông tin cơ bản về Logistics năm 2024."
"730","Từ lóng viết tắt","nv1 HTTT bao nhiêu điểm?","Thông tin chi tiết về HTTT."
"731","Tra cứu đơn lẻ","Chỉ tiêu ngành Tài chính ngân hàng năm 2023 lấy bao nhiêu?","Thông tin cơ bản về Tài chính ngân hàng năm 2023."
"732","Tra cứu đơn lẻ","Học phí ngành Luật năm 2024 là bao nhiêu?","Thông tin cơ bản về Luật năm 2024."
"733","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Quản trị kinh doanh năm 2024?","Thông tin cơ bản về Quản trị kinh doanh năm 2024."
"734","Từ lóng viết tắt","Slot vào KTĐ?","Thông tin chi tiết về KTĐ."
"735","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Quản trị khách sạn năm 2023?","Thông tin cơ bản về Quản trị khách sạn năm 2023."
"736","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Trí tuệ nhân tạo năm 2023?","Thông tin cơ bản về Trí tuệ nhân tạo năm 2023."
"737","Logic phức hợp","Ngành Quản trị khách sạn và Logistics ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Quản trị khách sạn và Logistics..."
"738","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật máy tính năm 2023?","Thông tin cơ bản về Kỹ thuật máy tính năm 2023."
"739","Từ lóng viết tắt","Chỉ tiêu KTS trường lấy bn?","Thông tin chi tiết về KTS."
"740","Tra cứu đơn lẻ","Khối thi của ngành Tài chính ngân hàng năm 2024 là gì?","Thông tin cơ bản về Tài chính ngân hàng năm 2024."
"741","Đa bậc đào tạo","Mình tốt nghiệp cao đẳng muốn liên thông Luật?","Thông tin bậc đào tạo sau ĐH ngành Luật."
"742","Tra cứu đơn lẻ","Cho mình hỏi mức học phí của ngành Cơ điện tử năm 2024?","Thông tin cơ bản về Cơ điện tử năm 2024."
"743","Đa bậc đào tạo","Học VB2 Cơ điện tử cần gì?","Thông tin bậc đào tạo sau ĐH ngành Cơ điện tử."
"744","Logic phức hợp","Ngành Quản trị khách sạn và Logistics ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Quản trị khách sạn và Logistics..."
"745","Từ lóng viết tắt","Khối thi vào KTĐ?","Thông tin chi tiết về KTĐ."
"746","Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Ngôn ngữ Anh hay Luật ưu tiên hơn?","Phân tích giữa Ngôn ngữ Anh và Luật..."
"747","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Cơ điện tử năm 2024?","Thông tin cơ bản về Cơ điện tử năm 2024."
"748","Logic phức hợp","Ngành Kỹ thuật phần mềm và Hệ thống thông tin ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Kỹ thuật phần mềm và Hệ thống thông tin..."
"749","Tra cứu đơn lẻ","Học phí ngành Cơ điện tử năm 2022 là bao nhiêu?","Thông tin cơ bản về Cơ điện tử năm 2022."
"750","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Kinh tế số năm 2023 không?","Thông tin cơ bản về Kinh tế số năm 2023."
"751","Đa bậc đào tạo","Điều kiện học văn bằng 2 ngành Công nghệ thông tin?","Thông tin bậc đào tạo sau ĐH ngành Công nghệ thông tin."
"752","Từ lóng viết tắt","review ngành KT ở TLU?","Thông tin chi tiết về KT."
"753","Từ lóng viết tắt","Em học dốt toán có vào đc KTS không?","Thông tin chi tiết về KTS."
"754","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Kế toán năm 2022?","Thông tin cơ bản về Kế toán năm 2022."
"755","Đa bậc đào tạo","Mình tốt nghiệp cao đẳng muốn liên thông Ngôn ngữ Anh?","Thông tin bậc đào tạo sau ĐH ngành Ngôn ngữ Anh."
"756","Tra cứu đơn lẻ","Thời gian nộp hồ sơ xét học bạ ngành Thương mại điện tử năm 2022?","Thông tin cơ bản về Thương mại điện tử năm 2022."
"757","Đa bậc đào tạo","Điều kiện học văn bằng 2 ngành Kỹ thuật xây dựng?","Thông tin bậc đào tạo sau ĐH ngành Kỹ thuật xây dựng."
"758","Ngoài phạm vi","Đỉnh Everest cao bao nhiêu mét?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"759","Logic phức hợp","Học bổng của ngành Kỹ thuật ô tô yêu cầu GPA bao nhiêu và so với Kỹ thuật điện có dễ hơn không?","Phân tích giữa Kỹ thuật ô tô và Kỹ thuật điện..."
"760","Logic phức hợp","Mình là học sinh chuyên, được giải 3 quốc gia thì xét thẳng vào Tài chính ngân hàng hay Thương mại điện tử ưu tiên hơn?","Phân tích giữa Tài chính ngân hàng và Thương mại điện tử..."
"761","Tra cứu đơn lẻ","Học phí ngành Trí tuệ nhân tạo năm 2024 là bao nhiêu?","Thông tin cơ bản về Trí tuệ nhân tạo năm 2024."
"762","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật ô tô năm 2024?","Thông tin cơ bản về Kỹ thuật ô tô năm 2024."
"763","Từ lóng viết tắt","Điểm chuẩn HTTT?","Thông tin chi tiết về HTTT."
"764","Ngoài phạm vi","Cách vượt qua stress trong công việc?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"765","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Tài chính ngân hàng năm 2024?","Thông tin cơ bản về Tài chính ngân hàng năm 2024."
"766","Tra cứu đơn lẻ","Học phí ngành Logistics năm 2024 là bao nhiêu?","Thông tin cơ bản về Logistics năm 2024."
"767","Từ lóng viết tắt","Em học dốt toán có vào đc CK không?","Thông tin chi tiết về CK."
"768","Tra cứu đơn lẻ","Điểm chuẩn ngành Công nghệ thông tin năm 2024 là bao nhiêu?","Thông tin cơ bản về Công nghệ thông tin năm 2024."
"769","Logic phức hợp","Học bổng của ngành Kỹ thuật ô tô yêu cầu GPA bao nhiêu và so với Kỹ thuật điện có dễ hơn không?","Phân tích giữa Kỹ thuật ô tô và Kỹ thuật điện..."
"770","Ngoài phạm vi","Làm sao để giàu nhanh?","Xin lỗi, hệ thống chỉ cung cấp thông tin tuyển sinh."
"771","Logic phức hợp","Cơ hội việc làm của Trí tuệ nhân tạo và Kỹ thuật máy tính cái nào tốt hơn?","Phân tích giữa Trí tuệ nhân tạo và Kỹ thuật máy tính..."
"772","Từ lóng viết tắt","Ngành QTKD học phí ntn?","Thông tin chi tiết về QTKD."
"773","Từ lóng viết tắt","Ngành AI học phí ntn?","Thông tin chi tiết về AI."
"774","Tra cứu đơn lẻ","Khối thi của ngành Khoa học máy tính năm 2022 là gì?","Thông tin cơ bản về Khoa học máy tính năm 2022."
"775","Tra cứu đơn lẻ","Có được xét tuyển thẳng vào ngành Thương mại điện tử năm 2024 không?","Thông tin cơ bản về Thương mại điện tử năm 2024."
"776","Từ lóng viết tắt","nv1 CNTT bao nhiêu điểm?","Thông tin chi tiết về CNTT."
"777","Logic phức hợp","Ngành Cơ điện tử và Kỹ thuật ô tô ngành nào lấy điểm cao hơn năm 2024?","Phân tích giữa Cơ điện tử và Kỹ thuật ô tô..."
"778","Từ lóng viết tắt","Khối thi vào TĐH?","Thông tin chi tiết về TĐH."
"779","Tra cứu đơn lẻ","Điểm chuẩn ngành Kinh tế số năm 2024 là bao nhiêu?","Thông tin cơ bản về Kinh tế số năm 2024."
"780","Tra cứu đơn lẻ","Mức điểm trúng tuyển ngành Kỹ thuật điện năm 2024?","Thông tin cơ bản về Kỹ thuật điện năm 2024."
"781","Đa bậc đào tạo","Chỉ tiêu tuyển sinh cao học ngành Cơ điện tử năm nay?","Thông tin bậc đào tạo sau ĐH ngành Cơ điện tử."
"782","Tra cứu đơn lẻ","Trường tuyển bao nhiêu sinh viên cho ngành Luật năm 2022?","Thông tin cơ bản về Luật năm 2022."
